datetime,daily_pnl,cumulative_pnl
2024-01-02,-12.999999999999986,-12.999999999999986
2024-01-03,-42.0,-54.999999999999986
2024-01-04,27.000000000000014,-27.99999999999997
2024-01-05,42.999999999999986,15.000000000000014
2024-01-08,86.00000000000004,101.00000000000006
2024-01-09,57.999999999999986,159.00000000000006
2024-01-10,-1.9999999999999414,157.0000000000001
2024-01-11,-137.00000000000003,20.000000000000085
2024-01-12,98.99999999999983,118.99999999999991
2024-01-16,-29.999999999999858,89.00000000000006
2024-01-17,-15.000000000000012,74.00000000000004
2024-01-18,234.00000000000003,308.00000000000006
2024-01-19,120.00000000000024,428.0000000000003
2024-01-22,-102.00000000000006,326.0000000000002
2024-01-23,0.0,326.0000000000002
2024-01-24,-137.9999999999999,188.00000000000034
2024-01-25,10.999999999999943,199.00000000000028
2024-01-26,44.99999999999975,244.00000000000003
2024-01-31,-1154.0000000000002,-910.0000000000002
2024-02-01,612.9999999999999,-297.00000000000034
2024-02-02,603.9999999999999,306.99999999999955
2024-02-06,-353.00000000000045,-46.00000000000091
2024-02-09,204.00000000000063,157.99999999999972
2024-02-12,-5.000000000000071,152.99999999999966
2024-02-13,-459.9999999999996,-306.99999999999994
2024-02-15,366.0,59.00000000000006
2024-02-16,113.00000000000026,172.0000000000003
2024-02-23,-534.9999999999994,-362.9999999999991
2024-03-01,474.9999999999993,112.00000000000023
2024-03-08,-188.99999999999935,-76.99999999999912
2024-03-11,232.00000000000003,155.0000000000009
2024-03-14,-1070.999999999998,-915.999999999997
2024-03-22,-15.999999999999659,-931.9999999999967
