datetime,price
2024-05-16 08:00:00,530.42
2024-05-16 08:01:00,530.41
2024-05-16 08:02:00,530.43
2024-05-16 08:04:00,530.42
2024-05-16 08:06:00,530.4
2024-05-16 08:07:00,530.45
2024-05-16 08:13:00,530.3
2024-05-16 08:14:00,530.28
2024-05-16 08:15:00,530.19
2024-05-16 08:18:00,530.25
2024-05-16 08:19:00,530.27
2024-05-16 08:20:00,530.22
2024-05-16 08:21:00,530.23
2024-05-16 08:23:00,530.23
2024-05-16 08:24:00,530.22
2024-05-16 08:25:00,530.23
2024-05-16 08:27:00,530.25
2024-05-16 08:29:00,530.18
2024-05-16 08:30:00,530.25
2024-05-16 08:31:00,530.22
2024-05-16 08:32:00,530.21
2024-05-16 08:35:00,530.24
2024-05-16 08:41:00,530.38
2024-05-16 08:42:00,530.34
2024-05-16 08:44:00,530.31
2024-05-16 08:47:00,530.38
2024-05-16 08:48:00,530.35
2024-05-16 08:52:00,530.35
2024-05-16 08:55:00,530.35
2024-05-16 09:00:00,530.31
2024-05-16 09:02:00,530.28
2024-05-16 09:05:00,530.31
2024-05-16 09:06:00,530.32
2024-05-16 09:07:00,530.33
2024-05-16 09:16:00,530.41
2024-05-16 09:23:00,530.46
2024-05-16 09:28:00,530.37
2024-05-16 09:29:00,530.36
2024-05-16 09:30:00,530.28
2024-05-16 09:34:00,530.25
2024-05-16 09:39:00,530.29
2024-05-16 09:41:00,530.26
2024-05-16 09:43:00,530.27
2024-05-16 09:44:00,530.31
2024-05-16 09:49:00,530.4
2024-05-16 09:53:00,530.33
2024-05-16 09:55:00,530.33
2024-05-16 09:59:00,530.23
2024-05-16 10:02:00,530.33
2024-05-16 10:04:00,530.29
2024-05-16 10:05:00,530.24
2024-05-16 10:06:00,530.28
2024-05-16 10:08:00,530.25
2024-05-16 10:09:00,530.21
2024-05-16 10:11:00,530.25
2024-05-16 10:15:00,530.22
2024-05-16 10:16:00,530.19
2024-05-16 10:17:00,530.16
2024-05-16 10:24:00,530.17
2024-05-16 10:26:00,530.14
2024-05-16 10:27:00,530.12
2024-05-16 10:28:00,530.13
2024-05-16 10:30:00,530.13
2024-05-16 10:31:00,530.15
2024-05-16 10:33:00,530.12
2024-05-16 10:34:00,530.12
2024-05-16 10:37:00,530.12
2024-05-16 10:38:00,530.09
2024-05-16 10:43:00,530.24
2024-05-16 10:44:00,530.25
2024-05-16 10:45:00,530.32
2024-05-16 10:46:00,530.32
2024-05-16 10:47:00,530.27
2024-05-16 10:50:00,530.23
2024-05-16 10:51:00,530.29
2024-05-16 10:53:00,530.24
2024-05-16 10:57:00,530.29
2024-05-16 10:58:00,530.28
2024-05-16 10:59:00,530.2
2024-05-16 11:00:00,530.31
2024-05-16 11:01:00,530.43
2024-05-16 11:02:00,530.28
2024-05-16 11:03:00,530.28
2024-05-16 11:05:00,530.38
2024-05-16 11:07:00,530.35
2024-05-16 11:10:00,530.35
2024-05-16 11:11:00,530.37
2024-05-16 11:12:00,530.35
2024-05-16 11:13:00,530.42
2024-05-16 11:14:00,530.4
2024-05-16 11:15:00,530.44
2024-05-16 11:16:00,530.42
2024-05-16 11:17:00,530.44
2024-05-16 11:18:00,530.47
2024-05-16 11:20:00,530.41
2024-05-16 11:22:00,530.42
2024-05-16 11:23:00,530.35
2024-05-16 11:24:00,530.35
2024-05-16 11:25:00,530.48
2024-05-16 11:26:00,530.52
2024-05-16 11:27:00,530.52
2024-05-16 11:28:00,530.53
2024-05-16 11:29:00,530.61
2024-05-16 11:30:00,530.61
2024-05-16 11:31:00,530.55
2024-05-16 11:32:00,530.57
2024-05-16 11:33:00,530.43
2024-05-16 11:34:00,530.37
2024-05-16 11:35:00,530.33
2024-05-16 11:36:00,530.38
2024-05-16 11:37:00,530.4
2024-05-16 11:40:00,530.34
2024-05-16 11:43:00,530.37
2024-05-16 11:45:00,530.42
2024-05-16 11:46:00,530.43
2024-05-16 11:48:00,530.48
2024-05-16 11:51:00,530.48
2024-05-16 11:52:00,530.44
2024-05-16 11:53:00,530.4
2024-05-16 11:54:00,530.39
2024-05-16 11:55:00,530.4
2024-05-16 11:56:00,530.41
2024-05-16 11:57:00,530.38
2024-05-16 11:58:00,530.36
2024-05-16 11:59:00,530.36
2024-05-16 12:00:00,530.3
2024-05-16 12:01:00,530.27
2024-05-16 12:02:00,530.32
2024-05-16 12:03:00,530.75
2024-05-16 12:04:00,530.35
2024-05-16 12:05:00,530.26
2024-05-16 12:06:00,530.2314
2024-05-16 12:07:00,530.22
2024-05-16 12:08:00,530.25
2024-05-16 12:09:00,530.25
2024-05-16 12:10:00,530.21
2024-05-16 12:11:00,530.2
2024-05-16 12:12:00,530.21
2024-05-16 12:13:00,530.25
2024-05-16 12:14:00,530.28
2024-05-16 12:15:00,530.2696
2024-05-16 12:16:00,530.25
2024-05-16 12:17:00,530.2601
2024-05-16 12:18:00,530.26
2024-05-16 12:19:00,530.35
2024-05-16 12:20:00,530.42
2024-05-16 12:21:00,530.51
